spp,hatchdat,sizename,sizeclass_cm,Trial_ID,Contact_event,Contact_Orientation,Contact_First_Bodypart,N_Contact,Time_Point,Notes,Data_Enterer,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,5,Upstream,Body,2,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,6,Upstream,Body,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,7,Downstream,Head,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,8,Downstream,Tail,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,9,Downstream,Body,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,1,Upstream,Tail,4,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,2,Downstream,Head,1,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,3,Downstream,Tail,1,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,4,Downstream,Tail,1,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,5,Downstream,Body,1,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,6,Unknown,Head,2,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-09_A,1,Upstream,Tail,2,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-09_A,2,Upstream,Tail,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-09_A,3,Upstream,Tail,3,t5,NA,Megan,,,,,,,,,,
